target_column,model,time_horizon,rmse,improvement_%
NMHC(GT),reg_nn_NMHC(GT)_long,_01h,154.37228801126335,8.560135156994942
NMHC(GT),reg_nn_NMHC(GT)_long_anomaly,_01h,158.42601028891357,6.158979988831794
NMHC(GT),reg_nn_NMHC(GT)_short,_01h,152.74431611238415,9.52443731458726
NMHC(GT),reg_nn_NMHC(GT)_short_anomaly,_01h,148.23759149312434,12.19392090765089
NMHC(GT),reg_linear_NMHC(GT)_long,_06h,175.55538551893204,42.73795339713441
NMHC(GT),reg_linear_NMHC(GT)_long_anomaly,_06h,176.10254667279074,42.55948227020817
NMHC(GT),reg_linear_NMHC(GT)_short,_06h,168.16785568002197,45.147592250794695
NMHC(GT),reg_linear_NMHC(GT)_short_anomaly,_06h,165.7264795023797,45.94391186267126
NMHC(GT),reg_nn_NMHC(GT)_long,_06h,154.37228801126335,49.64738265270322
NMHC(GT),reg_nn_NMHC(GT)_long_anomaly,_06h,158.42601028891357,48.325153583559405
NMHC(GT),reg_nn_NMHC(GT)_short,_06h,152.74431611238415,50.17838887883648
NMHC(GT),reg_nn_NMHC(GT)_short_anomaly,_06h,148.23759149312434,51.64837668018767
NMHC(GT),reg_linear_NMHC(GT)_long,_12h,175.55538551893204,41.61871737972033
NMHC(GT),reg_linear_NMHC(GT)_long_anomaly,_12h,176.10254667279074,41.43675788091124
NMHC(GT),reg_linear_NMHC(GT)_short,_12h,168.16785568002197,44.07545470006102
NMHC(GT),reg_linear_NMHC(GT)_short_anomaly,_12h,165.7264795023797,44.88733906457675
NMHC(GT),reg_nn_NMHC(GT)_long,_12h,154.37228801126335,48.66319738078975
NMHC(GT),reg_nn_NMHC(GT)_long_anomaly,_12h,158.42601028891357,47.315124205728424
NMHC(GT),reg_nn_NMHC(GT)_short,_12h,152.74431611238415,49.204582580938386
NMHC(GT),reg_nn_NMHC(GT)_short_anomaly,_12h,148.23759149312434,50.70330255988432
NMHC(GT),reg_linear_NMHC(GT)_long,_24h,175.55538551893204,15.082492407591207
NMHC(GT),reg_linear_NMHC(GT)_long_anomaly,_24h,176.10254667279074,14.817826294958303
NMHC(GT),reg_linear_NMHC(GT)_short,_24h,168.16785568002197,18.65589814123155
NMHC(GT),reg_linear_NMHC(GT)_short_anomaly,_24h,165.7264795023797,19.836810817240035
NMHC(GT),reg_nn_NMHC(GT)_long,_24h,154.37228801126335,25.328921693260753
NMHC(GT),reg_nn_NMHC(GT)_long_anomaly,_24h,158.42601028891357,23.368104648130814
NMHC(GT),reg_nn_NMHC(GT)_short,_24h,152.74431611238415,26.116384383024798
NMHC(GT),reg_nn_NMHC(GT)_short_anomaly,_24h,148.23759149312434,28.296322189783908
NO2(GT),reg_linear_NO2(GT)_long,_01h,47.581960562202994,-86.72961797695531
NO2(GT),reg_linear_NO2(GT)_long_anomaly,_01h,48.52233675974782,-90.42001000888123
NO2(GT),reg_linear_NO2(GT)_short,_01h,47.98025256660473,-88.29266651355326
NO2(GT),reg_linear_NO2(GT)_short_anomaly,_01h,48.77881598071267,-91.42653152215905
NO2(GT),reg_nn_NO2(GT)_long,_01h,49.60148687897586,-94.65500342071866
NO2(GT),reg_nn_NO2(GT)_long_anomaly,_01h,50.23684700434246,-97.14839696914966
NO2(GT),reg_nn_NO2(GT)_short,_01h,48.9522585062048,-92.1071856218102
NO2(GT),reg_nn_NO2(GT)_short_anomaly,_01h,50.46873915660493,-98.05842952123878
NO2(GT),reg_linear_NO2(GT)_long,_06h,47.581960562202994,27.873464905959565
NO2(GT),reg_linear_NO2(GT)_long_anomaly,_06h,48.52233675974782,26.448007106145926
NO2(GT),reg_linear_NO2(GT)_short,_06h,47.98025256660473,27.269718824593227
NO2(GT),reg_linear_NO2(GT)_short_anomaly,_06h,48.77881598071267,26.059226204450418
NO2(GT),reg_nn_NO2(GT)_long,_06h,49.60148687897586,24.81219054821981
NO2(GT),reg_nn_NO2(GT)_long_anomaly,_06h,50.23684700434246,23.8490876445532
NO2(GT),reg_nn_NO2(GT)_short,_06h,48.9522585062048,25.796315465718813
NO2(GT),reg_nn_NO2(GT)_short_anomaly,_06h,50.46873915660493,23.497576751337128
NO2(GT),reg_linear_NO2(GT)_long,_12h,47.581960562202994,31.012803655553512
NO2(GT),reg_linear_NO2(GT)_long_anomaly,_12h,48.52233675974782,29.649389525258048
NO2(GT),reg_linear_NO2(GT)_short,_12h,47.98025256660473,30.435335884460606
NO2(GT),reg_linear_NO2(GT)_short_anomaly,_12h,48.77881598071267,29.277530481075914
NO2(GT),reg_nn_NO2(GT)_long,_12h,49.60148687897586,28.084772593112223
NO2(GT),reg_nn_NO2(GT)_long_anomaly,_12h,50.23684700434246,27.163589161403962
NO2(GT),reg_nn_NO2(GT)_short,_12h,48.9522585062048,29.026063046375324
NO2(GT),reg_nn_NO2(GT)_short_anomaly,_12h,50.46873915660493,26.82737793240354
NO2(GT),reg_linear_NO2(GT)_long,_24h,47.581960562202994,-7.83744026297665
NO2(GT),reg_linear_NO2(GT)_long_anomaly,_24h,48.52233675974782,-9.968663122003175
NO2(GT),reg_linear_NO2(GT)_short,_24h,47.98025256660473,-8.740109882395652
NO2(GT),reg_linear_NO2(GT)_short_anomaly,_24h,48.77881598071267,-10.549935149105439
NO2(GT),reg_nn_NO2(GT)_long,_24h,49.60148687897586,-12.414396444927224
NO2(GT),reg_nn_NO2(GT)_long_anomaly,_24h,50.23684700434246,-13.854345718877978
NO2(GT),reg_nn_NO2(GT)_short,_24h,48.9522585062048,-10.943016849834567
NO2(GT),reg_nn_NO2(GT)_short_anomaly,_24h,50.46873915660493,-14.379894809785382
NOx(GT),reg_linear_NOx(GT)_long,_01h,180.99726879842933,-63.11048453531458
NOx(GT),reg_linear_NOx(GT)_long_anomaly,_01h,183.61083594786675,-65.4657698218847
NOx(GT),reg_linear_NOx(GT)_short,_01h,178.73032455417967,-61.067567663978274
NOx(GT),reg_linear_NOx(GT)_short_anomaly,_01h,180.40643020874242,-62.57803468518275
NOx(GT),reg_nn_NOx(GT)_long,_01h,187.2159970519454,-68.71465627424891
NOx(GT),reg_nn_NOx(GT)_long_anomaly,_01h,186.42818922579266,-68.00470237772026
NOx(GT),reg_nn_NOx(GT)_short,_01h,182.85352724918388,-64.78330102218952
NOx(GT),reg_nn_NOx(GT)_short_anomaly,_01h,185.1263004742197,-66.83147083400769
NOx(GT),reg_linear_NOx(GT)_long,_06h,180.99726879842933,31.693513675841974
NOx(GT),reg_linear_NOx(GT)_long_anomaly,_06h,183.61083594786675,30.707180622666836
NOx(GT),reg_linear_NOx(GT)_short,_06h,178.73032455417967,32.5490348505284
NOx(GT),reg_linear_NOx(GT)_short_anomaly,_06h,180.40643020874242,31.91649001307709
NOx(GT),reg_nn_NOx(GT)_long,_06h,187.2159970519454,29.346630326593683
NOx(GT),reg_nn_NOx(GT)_long_anomaly,_06h,186.42818922579266,29.643940804593743
NOx(GT),reg_nn_NOx(GT)_short,_06h,182.85352724918388,30.992981047243166
NOx(GT),reg_nn_NOx(GT)_short_anomaly,_06h,185.1263004742197,30.13526007584711
NOx(GT),reg_linear_NOx(GT)_long,_12h,180.99726879842933,33.107156605692346
NOx(GT),reg_linear_NOx(GT)_long_anomaly,_12h,183.61083594786675,32.14123629546642
NOx(GT),reg_linear_NOx(GT)_short,_12h,178.73032455417967,33.94497226623194
NOx(GT),reg_linear_NOx(GT)_short_anomaly,_12h,180.40643020874242,33.325518316416584
NOx(GT),reg_nn_NOx(GT)_long,_12h,187.2159970519454,30.808843388394685
NOx(GT),reg_nn_NOx(GT)_long_anomaly,_12h,186.42818922579266,31.100000851098358
NOx(GT),reg_nn_NOx(GT)_short,_12h,182.85352724918388,32.42112191207512
NOx(GT),reg_nn_NOx(GT)_short_anomaly,_12h,185.1263004742197,31.58115198091329
NOx(GT),reg_linear_NOx(GT)_long,_24h,180.99726879842933,10.404126364952718
NOx(GT),reg_linear_NOx(GT)_long_anomaly,_24h,183.61083594786675,9.11037848901937
NOx(GT),reg_linear_NOx(GT)_short,_24h,178.73032455417967,11.526291640671246
NOx(GT),reg_linear_NOx(GT)_short_anomaly,_24h,180.40643020874242,10.69659873192115
NOx(GT),reg_nn_NOx(GT)_long,_24h,187.2159970519454,7.3257794126944
NOx(GT),reg_nn_NOx(GT)_long_anomaly,_24h,186.42818922579266,7.715753973687859
NOx(GT),reg_nn_NOx(GT)_short,_24h,182.85352724918388,9.485255606891663
NOx(GT),reg_nn_NOx(GT)_short_anomaly,_24h,185.1263004742197,8.36020491400963
